Sr.No.,Locality,Signal Strength (dBm),Data Throughput (Mbps),Latency (ms),Network Type,BB60C Measurement (dBm),srsRAN Measurement (dBm),BladeRFxA9 Measurement (dBm)
19,Boring Canal Road,-89.10363007,1.147593129,155.3854284,LTE,-84.41060472,-96.48814085,-88.32723824
20,Patliputra Colony,-89.9496304,1.72069019,125.9949863,LTE,-90.41722193,-99.78805064,-91.27104935
21,Kankarbagh,-95.06888978,32.26132916,28.02176541,5G,-98.77729562,-100.2986346,-94.43184197
22,Pataliputra,-100.1019162,12.59044087,40.20549023,5G,-98.89882072,-106.5815174,-101.8241313
23,Phulwari Sharif,-91.78673388,1.081737233,116.8935063,LTE,-94.00083049,-100.9016815,-94.25451868
24,Bailey Road,-93.53166988,26.40554906,32.55860368,5G,-90.12457002,-103.0856482,-93.3196565
25,Kankarbagh,-91.95507929,4.710472088,74.91238489,4G,-93.65159448,-97.28662018,-94.90987312
26,Ashok Rajpath,-82.81934177,2.641722946,171.8457271,LTE,-82.46897445,-90.43624435,-80.78784642
27,Phulwari Sharif,-90.29803059,1.403460925,168.4571548,LTE,-94.41934947,-99.60390672,-93.28176519
28,Boring Road,-87.68278625,2.50100385,179.9537131,LTE,-84.43145949,-96.75076132,-89.26863578
29,Patliputra Colony,-88.01083289,1.458050782,154.2849311,LTE,-88.69555146,-96.34675396,-86.62753807
30,Kumhrar,-93.78936552,4.591456881,71.17984312,4G,-95.91006936,-100.7146142,-91.31825107
31,Boring Canal Road,-93.95841928,9.893888393,91.94490432,4G,-97.71179247,-99.35420987,-91.73904111
32,Anandpuri,-90.50314768,9.429183075,79.35341121,4G,-95.17468098,-95.93940037,-92.01378902
33,Anandpuri,-94.47178063,1.544603709,189.743041,LTE,-94.20599596,-100.4680318,-91.59819201
34,Danapur,-89.94799797,2.613700298,196.2649319,LTE,-85.50390072,-99.24258873,-90.50964412
35,Gandhi Maidan,-89.75372552,2.661309013,134.5192145,LTE,-87.01538029,-97.93993604,-87.5873174
36,Exhibition Road,-85.58789893,2.645167752,152.9661679,LTE,-82.43735465,-93.09744517,-88.18484653
37,Phulwari Sharif,-85.3942985,6.632423937,52.34829834,4G,-88.73146481,-91.70413042,-87.89750649
38,Gardanibagh,-93.82000122,95.97126815,16.18688564,5G,-92.58667571,-101.4488147,-94.75369882
39,Kankarbagh,-94.48261117,99.94181496,32.23226326,5G,-94.75050999,-102.9183369,-96.7594757
40,Anisabad,-92.13762674,9.194988496,76.51325663,4G,-92.72730513,-100.1151995,-91.70306019
41,Kankarbagh,-79.60918143,4.901808797,69.9143692,4G,-83.69218808,-87.92732911,-79.47406628
42,Pataliputra,-92.60148378,8.585925255,62.94913258,4G,-91.71594149,-97.6898312,-90.29628991
43,Bankipore,-91.98387619,2.93820526,188.3785885,LTE,-87.70635335,-97.00933707,-93.94050469
44,Bailey Road,-86.37002093,2.142637884,166.211201,LTE,-85.93223185,-92.04755652,-84.96656141
45,Anandpuri,-94.82052725,84.32350755,15.1547947,5G,-96.46933871,-101.102986,-96.85596787
46,Gardanibagh,-92.30988823,40.76849494,35.30487573,5G,-87.98960717,-101.7973396,-89.6865173
47,Bailey Road,-104.2338622,38.86684664,38.9769069,5G,-101.7754921,-113.2320665,-102.0251253
48,Rajendra Nagar,-92.26667765,2.841695696,161.6650315,LTE,-89.30130474,-99.85906589,-94.56282852
49,Kankarbagh,-102.9195141,72.54836975,44.40489589,5G,-100.1210042,-112.72142,-103.0364724
50,S.K. Puri,-86.41922712,1.678900385,181.4825114,LTE,-90.61807866,-91.94514384,-86.13367286
51,Exhibition Road,-87.45931279,2.110727102,171.9201778,LTE,-90.17476538,-92.47764321,-84.61055382
52,Exhibition Road,-90.4215677,9.113962667,95.0350932,4G,-91.20435843,-99.03742872,-89.86746573
53,Rajendra Nagar,-82.87668315,9.095249309,72.26526275,4G,-82.72850961,-91.0805163,-82.31897804
54,Ashok Rajpath,-91.03700177,1.497428545,161.7144987,LTE,-88.9692296,-100.2017922,-93.03128647
55,Bankipore,-88.83156539,50.69791255,47.3550007,5G,-90.67000434,-96.29539135,-91.58212824
56,S.K. Puri,-88.55121736,20.81881498,31.77956392,5G,-93.49363075,-96.92828821,-89.35244815
57,Anisabad,-91.0455997,6.354273143,51.28210329,4G,-92.63312142,-99.14462161,-91.65266301
58,Kumhrar,-90.38098031,4.296599126,95.88762446,4G,-91.13570606,-99.9457855,-88.48648845
59,Rajendra Nagar,-93.42909768,8.123706473,92.55871304,4G,-91.71485098,-99.3814478,-91.82916087
60,S.K. Puri,-92.32672366,1.453312804,135.4996306,LTE,-96.63248523,-99.7314247,-94.92104827
61,Phulwari Sharif,-94.05902692,2.160950013,108.8767394,LTE,-89.44236956,-100.8842267,-92.53
62,Gandhi Maidan,-88.29928463,7.259404889,75.34192159,4G,-91.70624442,-97.98373947,-90.59339046
63,Danapur,-88.65736804,6.966027535,69.55213815,4G,-88.64583805,-96.67147415,-88.41897233
64,Exhibition Road,-91.20056114,2.702897275,100.0332506,LTE,-96.02368304,-98.18779532,-92.01177182
65,Anandpuri,-83.91531145,1.45778921,123.2645539,LTE,-86.70728515,-93.04654847,-82.98096941
66,Ashok Rajpath,-84.60687974,4.818692461,88.01449116,4G,-88.23578268,-91.93032908,-86.3156685
67,Danapur,-101.8595057,51.35020916,41.40066175,5G,-97.93865883,-107.0828323,-100.1380854
68,Pataliputra,-100.3833047,59.46544393,43.22137826,5G,-104.6961763,-108.2618202,-102.8875987
69,Gandhi Maidan,-97.11452333,1.585644073,197.9970329,LTE,-96.09570744,-104.20241,-95.62608426
70,S.K. Puri,-88.78349532,8.925600371,95.94632668,4G,-91.26108512,-95.00828567,-89.02025833
71,Boring Canal Road,-93.6705076,53.95547171,16.02704431,5G,-95.24667124,-101.6034254,-92.12139753
72,Boring Road,-93.02664235,52.32871487,30.08200854,5G,-96.77950178,-101.0997629,-92.16645127
73,Fraser Road,-90.87896121,2.405886882,105.280396,LTE,-91.01298459,-97.88211639,-90.26608735
74,Anandpuri,-96.58410881,99.85127603,47.32453325,5G,-95.15845681,-104.4778685,-95.76704462
75,Gandhi Maidan,-89.43645501,5.091079015,97.03396226,4G,-91.84348742,-97.28817095,-87.20007351
76,Phulwari Sharif,-97.07375746,2.313910313,195.6614621,LTE,-101.3841773,-106.7884839,-98.38063501
77,Anisabad,-95.7541781,75.92038587,31.93282335,5G,-99.47429602,-101.3435,-96.39349102
78,Rajendra Nagar,-90.94799668,3.621881716,84.18770528,4G,-90.4969414,-96.04541257,-92.58353971
79,Bankipore,-98.55380052,56.12523839,42.25614469,5G,-98.96140174,-108.2940176,-96.83613132
80,Anisabad,-89.70491957,2.077403596,149.7812508,LTE,-93.65018257,-96.42101904,-87.7723006
81,Pataliputra,-88.06629805,5.992427815,58.11167029,4G,-92.94022285,-95.26751963,-87.90190031
82,Kumhrar,-84.81202181,1.670416095,117.3761593,LTE,-82.69188161,-90.68213075,-87.20819694
83,Exhibition Road,-95.11434031,71.7694477,12.78564593,5G,-98.36552594,-100.835654,-96.75126297
84,Boring Canal Road,-93.63651103,60.43965679,14.43957877,5G,-94.16595559,-101.3347197,-91.44912938
85,Boring Canal Road,-87.39847285,8.086696944,65.23755477,4G,-84.1045262,-95.99086685,-85.16194981
86,Kankarbagh,-89.14219666,9.152852302,78.5886176,4G,-88.96773315,-96.99005961,-90.24051714
87,Rajendra Nagar,-81.31622913,2.901062105,160.0651067,LTE,-78.88028997,-88.78489883,-80.51160494
88,Anisabad,-84.67753186,2.642396565,100.1565105,LTE,-83.31351816,-94.42185495,-86.13188854
89,Kankarbagh,-90.31308266,2.051625198,151.1681387,LTE,-93.65679918,-97.0843801,-93.04441195
90,Pataliputra,-91.38243806,6.399127898,51.37683599,4G,-91.32788688,-96.56235102,-92.07719778
91,Patliputra Colony,-96.15866608,5.38270973,77.07038037,4G,-99.61721565,-103.3901087,-95.9084372
92,Anandpuri,-95.94510812,1.803557601,199.3848389,LTE,-92.1419605,-102.8280783,-95.52884395
93,Kankarbagh,-86.50732228,6.19185493,72.17279182,4G,-85.48615242,-93.55028848,-84.66778622
94,Exhibition Road,-81.04102784,2.288940554,181.9797805,LTE,-82.70695462,-87.37577189,-80.86955918
95,Bailey Road,-88.15971757,2.400068546,110.440413,LTE,-89.16871569,-94.54397014,-89.47771081
96,Gardanibagh,-93.99211935,1.562008998,180.3482743,LTE,-89.69983881,-101.9666059,-91.55545334
97,Anisabad,-93.05372536,2.109314696,163.7090837,LTE,-92.79094076,-100.7378618,-94.64580471
98,Bankipore,-90.29213392,1.221955049,163.4424145,LTE,-87.58432774,-100.2777277,-88.13839381
99,Kidwaipuri,-89.44140716,21.31518421,39.48386202,5G,-84.69548905,-99.18041402,-88.34824388
100,Pataliputra,-107.8116683,57.78439106,33.805267,5G,-112.7124301,-115.4911925,-105.0306728
101,Boring Canal Road,-94.35632046,9.705538847,76.4829862,4G,-96.93738752,-101.8533026,-93.27859847
102,Phulwari Sharif,-90.6232859,2.902859621,199.4819294,LTE,-88.50605784,-95.71756724,-90.20604722
103,Bankipore,-94.22988477,1.916469301,178.1348841,LTE,-89.62820692,-100.4119894,-92.09864286
104,S.K. Puri,-94.84468772,4.34115062,95.91195433,4G,-98.82665089,-102.3148982,-96.51957102
105,Boring Road,-91.3461794,95.18108618,45.7023291,5G,-92.15169947,-97.44435189,-91.488165
106,Bailey Road,-93.80871523,2.751766167,153.9094553,LTE,-95.98399096,-101.6825743,-96.58328868
107,Phulwari Sharif,-103.7419083,66.55906427,29.27469917,5G,-105.1248057,-108.9958651,-102.9489513
108,Boring Road,-88.05548924,2.686556182,109.7514326,LTE,-87.4656829,-95.55004984,-86.81833014
109,Pataliputra,-85.00841617,1.500935798,162.48741,LTE,-84.29095634,-90.84426428,-82.5718938
110,Danapur,-82.74662419,5.3271931,52.82928281,4G,-84.00741372,-88.02438128,-81.89621781
111,Fraser Road,-101.4979062,11.35996158,48.60061478,5G,-103.9889757,-108.1177747,-100.258127
112,Gandhi Maidan,-86.68107033,7.760783198,70.40758454,4G,-91.52712141,-93.76644004,-88.16246109
113,Gardanibagh,-94.72989637,49.4546482,49.85049146,5G,-97.43817686,-101.9955165,-93.70584322
114,Danapur,-84.61333671,9.660434971,91.92459169,4G,-81.56243352,-90.49841768,-82.01707366
115,Bankipore,-87.43525335,2.854221258,110.5393218,LTE,-84.79084607,-95.38689808,-86.50421106
116,Pataliputra,-96.49171032,2.485061666,107.6635806,LTE,-92.7653523,-102.3511262,-98.19534963
117,Boring Road,-92.83831942,3.737418391,61.11806524,4G,-92.64607371,-99.799556,-94.36620553
118,Kankarbagh,-96.31278117,74.31771474,45.2625382,5G,-93.99961597,-102.8264041,-94.7969514
119,Gandhi Maidan,-88.54373189,2.754700906,138.9404939,LTE,-88.12612224,-93.70340283,-91.14434352
120,Kankarbagh,-87.67426992,5.65458576,91.56838531,4G,-84.25101488,-95.80806414,-86.88233784
121,S.K. Puri,-90.81294432,1.781510305,115.8678874,LTE,-93.23063412,-97.78588553,-91.21396565
122,Gardanibagh,-84.61310002,22.02855233,27.75436754,5G,-85.10533718,-89.82061084,-85.02657885
123,Ashok Rajpath,-84.31486807,1.176769894,169.8948828,LTE,-85.63139593,-92.15313694,-87.12797351
124,Bailey Road,-96.57203006,43.43373493,34.74108235,5G,-95.24130352,-104.2256039,-96.91367388
125,Pataliputra,-93.92104471,5.813210399,57.68455214,4G,-93.19497238,-102.5359821,-91.39319963
126,Boring Road,-90.70709665,4.879935172,55.04890534,4G,-94.03218576,-99.97071883,-87.86863586
127,Boring Canal Road,-96.1944732,1.152959911,198.6729102,LTE,-98.48081356,-105.7015586,-94.21858779
128,Fraser Road,-98.15772599,3.86262803,84.92653126,4G,-98.99627232,-105.5884723,-95.73793791
129,Ashok Rajpath,-98.57524091,64.02533145,12.14057852,5G,-99.80993804,-107.4149622,-99.98302025
130,Pataliputra,-108.7375242,63.72196215,49.98230813,5G,-106.0430353,-116.7481957,-106.7722059
131,Kidwaipuri,-97.49865088,50.41348911,19.49914227,5G,-102.0025071,-103.8756594,-99.82909288
132,Anandpuri,-83.74152104,9.390517033,66.98851211,4G,-84.18532947,-90.35095188,-83.48339245
133,Gardanibagh,-94.38160361,2.936152763,144.6714527,LTE,-94.36642401,-103.1483105,-94.5558421
134,Fraser Road,-88.80643261,2.818350528,131.3878077,LTE,-86.89587449,-97.44826671,-90.66277362
135,Exhibition Road,-89.73274047,2.399379818,141.0857092,LTE,-89.12694238,-95.01944458,-92.23633623
136,Bankipore,-85.6923087,2.876631457,181.8740229,LTE,-80.85663663,-94.3939545,-82.8739669
137,Patliputra Colony,-99.25685225,52.80365726,26.3099242,5G,-102.6446641,-105.9748042,-96.42994681
138,Kidwaipuri,-92.83776401,1.929226338,137.9616764,LTE,-94.67189641,-101.409266,-95.28951938
139,Ashok Rajpath,-83.248971,37.76214533,32.92168802,5G,-84.99685904,-93.05262393,-84.61697937
140,Bankipore,-100.6573293,3.180387191,80.17644033,4G,-99.06226947,-107.2171015,-102.9350038
141,Boring Road,-91.84006864,3.537652087,61.74971388,4G,-88.53855881,-97.09881096,-93.01245451
142,Kankarbagh,-93.81023249,1.795368829,197.3800413,LTE,-93.36824587,-102.4340366,-92.5535993
143,Boring Canal Road,-91.61320239,14.61644641,29.70141523,5G,-92.19213204,-99.9411965,-92.2457685
144,Patliputra Colony,-93.10013676,4.354047401,82.07522406,4G,-95.50185538,-98.66970621,-90.72599709
145,Fraser Road,-82.87280436,5.879622,56.31932112,4G,-87.59436529,-89.75914295,-81.03225898
146,Gandhi Maidan,-88.49471289,4.054812409,92.57971597,4G,-83.58017721,-94.86051874,-86.7860948
147,Gardanibagh,-88.75513641,3.94203387,54.72094488,4G,-85.43995308,-94.1631487,-87.85640813
148,Kidwaipuri,-87.90879823,44.98537131,19.61196494,5G,-91.95914547,-96.334206,-90.32892922
149,Bankipore,-102.9440924,76.46552907,36.6646834,5G,-106.7484724,-110.0808781,-104.4036314
150,Anisabad,-90.3929291,68.6710779,43.29668734,5G,-85.63819881,-98.02210762,-92.99276581
151,Bankipore,-93.01565412,5.361119855,97.07884264,4G,-92.71851446,-99.35371188,-90.47100782
152,Kidwaipuri,-95.00573395,19.57035676,14.56559877,5G,-90.59525134,-100.6424586,-95.29321436
153,Anandpuri,-92.88827197,5.810232454,66.90422047,4G,-96.62003175,-100.9295597,-94.91230708
154,Kankarbagh,-93.08294824,1.302891044,143.2771484,LTE,-92.12615,-102.6798712,-90.4455367
155,Gandhi Maidan,-91.76118715,7.223339373,90.08421466,4G,-92.06600049,-99.64790698,-88.78736015
156,Rajendra Nagar,-101.7776475,66.30857105,32.86430598,5G,-104.9292635,-111.479712,-101.1514916
157,Fraser Road,-90.92593994,1.051618786,155.329064,LTE,-90.7214459,-95.95303,-92.71488893
158,Patliputra Colony,-90.04804829,2.968063029,179.6484389,LTE,-87.48046739,-96.64525748,-92.05159918
159,Bankipore,-94.73840726,96.68431244,14.59014398,5G,-94.83432207,-103.8908868,-97.432558
160,Anandpuri,-96.92013496,1.255140349,140.9085149,LTE,-98.37636313,-105.4059855,-95.53485722
161,Pataliputra,-96.55675713,65.04817775,21.8299025,5G,-98.99932012,-104.9196523,-98.56903405
162,Phulwari Sharif,-93.94321523,2.343417718,172.93098,LTE,-93.1926095,-102.9091258,-93.91647958
163,Exhibition Road,-91.13662039,5.374684628,53.12156636,4G,-91.27488385,-100.5915523,-92.64538147
164,Gandhi Maidan,-93.20682017,3.445793373,58.85635721,4G,-98.15542389,-100.9797726,-95.70128791
165,Anisabad,-100.2997504,44.5057427,16.73114354,5G,-96.93532847,-107.5552022,-102.1645756
166,Gardanibagh,-96.92119009,72.56687196,35.1851338,5G,-93.28634401,-106.2597504,-94.05565033
167,Kumhrar,-102.0455346,10.02043344,46.60006151,5G,-98.60674053,-108.3340735,-104.0386471
168,Ashok Rajpath,-91.63454365,4.629098442,52.69152625,4G,-94.73579036,-101.4397544,-92.28367828
169,Danapur,-86.36139384,2.773005053,139.8642494,LTE,-82.73216991,-95.0260188,-86.1534283
170,Boring Road,-98.55093475,30.1532129,24.53091186,5G,-99.16445974,-103.6634535,-96.70374087
171,Anandpuri,-88.05999483,6.812416098,53.89282598,4G,-83.50551292,-96.825189,-85.90212276
172,Rajendra Nagar,-91.87128873,2.382493328,116.7566539,LTE,-93.76820391,-99.35456308,-90.09264536
173,Pataliputra,-90.63496691,7.083950633,73.21019745,4G,-89.44292373,-98.23349561,-89.66474383
174,Rajendra Nagar,-89.89468866,6.480777206,58.92080483,4G,-93.81313852,-95.68415435,-89.20988961
175,Anandpuri,-91.33273558,27.68382703,18.46983448,5G,-95.91776233,-99.72239791,-90.97426762
176,Boring Canal Road,-87.8114333,2.42355589,189.8355275,LTE,-86.98457183,-97.19089646,-90.08294387
177,Gandhi Maidan,-95.53059758,17.68627271,48.8984556,5G,-95.35049326,-102.4596664,-97.11093888
178,Pataliputra,-83.18139598,2.887556223,125.0890317,LTE,-87.17576866,-91.21508855,-82.48111973
179,Gandhi Maidan,-102.0811353,76.90916566,31.3130815,5G,-98.47445706,-108.6065434,-105.0178285
180,Anisabad,-86.36075911,1.309715148,137.2999836,LTE,-89.27038874,-92.88178428,-83.69550608
181,Exhibition Road,-95.66084678,44.85008271,21.31061828,5G,-97.61594253,-100.7461124,-94.8041823
182,Boring Canal Road,-89.71088414,9.470166969,61.51933197,4G,-91.81844511,-97.86411349,-88.72842771
183,Kankarbagh,-94.80748177,77.52976982,22.42861313,5G,-94.66258575,-100.523305,-95.00621318
184,Gandhi Maidan,-87.7970746,88.66123042,18.82850344,5G,-91.21259423,-97.48604914,-85.86085707
185,Gandhi Maidan,-95.31674053,9.237980643,73.01776866,4G,-93.2200271,-100.3981826,-98.01568843
186,Pataliputra,-91.97703828,33.28398527,23.8876867,5G,-89.03521482,-98.85095765,-89.3511996
187,Anisabad,-92.07034421,5.067954254,54.52797338,4G,-90.3903117,-101.4037101,-89.95926865
188,Bankipore,-96.49129744,26.68679653,17.28252516,5G,-96.36266864,-102.2673095,-99.01366697
189,Rajendra Nagar,-89.42492207,2.028163842,177.936517,LTE,-89.19995398,-96.21979778,-87.70693214
190,Anisabad,-96.07381464,1.507969507,187.7692179,LTE,-100.1781544,-102.4969941,-97.44696112
191,Anandpuri,-90.35695467,2.0118516,177.772791,LTE,-86.77372528,-96.13263424,-91.1989013
192,Kankarbagh,-89.35646247,6.720354724,72.89816072,4G,-90.38856921,-97.20041004,-88.94067486
193,Exhibition Road,-93.69037067,1.645619587,125.8107643,LTE,-94.05051649,-103.0239494,-91.12389627
194,Gandhi Maidan,-92.1841672,4.802354515,56.78307336,4G,-94.58368679,-100.2588769,-89.52627049
195,Kumhrar,-93.37729615,8.74355253,88.00174509,4G,-97.88963296,-99.15865219,-93.74903169
196,Boring Canal Road,-88.0363386,7.327995147,89.07310444,4G,-86.00356633,-93.86404734,-90.69905517
197,Phulwari Sharif,-91.6753549,32.80414589,45.80306237,5G,-90.93606354,-99.92146679,-89.67919242
198,Anandpuri,-98.82485877,28.50593389,34.54732751,5G,-101.5939954,-106.0965154,-97.72100799
199,Kidwaipuri,-91.95082149,2.311641535,153.7275674,LTE,-90.17957886,-98.53746573,-91.1784174
200,Anisabad,-85.70266798,5.679833763,81.53176475,4G,-86.40124066,-93.51384271,-86.84044265
201,Kankarbagh,-87.41069755,1.599112639,145.7743817,LTE,-91.45510651,-92.91996533,-84.79814861
202,Exhibition Road,-85.8217549,2.540042457,163.0175085,LTE,-80.93685005,-94.10021473,-88.45118058
203,Pataliputra,-89.16211967,9.501343948,74.8371714,4G,-85.73266484,-96.93268657,-87.91061839
204,Bankipore,-93.9381362,4.741579446,95.51083275,4G,-97.39397863,-100.8042836,-96.76532912
205,Rajendra Nagar,-86.66880399,4.018621103,93.89891912,4G,-88.97690659,-91.75752368,-87.3713859
206,Rajendra Nagar,-90.76631211,55.66507886,27.66015693,5G,-94.45958581,-99.31131516,-88.55255748
207,Danapur,-89.01566554,1.89374839,177.7984972,LTE,-91.81096073,-98.19283525,-89.57767215
208,Danapur,-98.99996547,73.21648293,21.97830896,5G,-101.3113963,-104.0100782,-96.85113192
209,Boring Canal Road,-91.08091328,1.967754529,189.7532327,LTE,-87.00330084,-100.6438292,-88.46195329
210,Rajendra Nagar,-91.38586553,69.93524495,42.90629874,5G,-96.25305349,-98.67578903,-91.62848766
211,Kumhrar,-93.55087842,18.69765257,20.96656151,5G,-95.35031115,-99.73512813,-91.73738334
212,Danapur,-87.62626496,2.168791843,179.686157,LTE,-89.21659933,-93.59893355,-88.59459759
213,Pataliputra,-90.60046781,1.614175487,103.515925,LTE,-92.36901563,-97.87992469,-90.29019357
214,Rajendra Nagar,-101.3200308,60.73633913,18.19916931,5G,-98.90007693,-111.0586353,-99.20477497
215,Patliputra Colony,-96.89175941,20.22814348,10.156735,5G,-91.8971526,-102.8803909,-95.17142132
216,Gardanibagh,-94.27340972,52.41896147,49.24390498,5G,-91.86962675,-103.6833796,-92.73417472
217,Gardanibagh,-93.30444797,1.341627413,119.7690303,LTE,-95.11627474,-100.3369659,-95.04374131
218,Bankipore,-92.51709165,60.91678235,10.61242347,5G,-89.71136439,-100.7090551,-93.0785804
219,Anisabad,-94.51043131,76.64585691,40.27707381,5G,-93.44326929,-103.6764946,-92.72590799
220,Kumhrar,-93.59605022,4.096289704,98.73800407,4G,-90.17066793,-101.0916672,-90.70752167
221,Bankipore,-98.64887642,44.5552308,27.77763831,5G,-102.232704,-108.1363948,-98.43608672
222,Fraser Road,-94.92590384,80.01184661,25.29453324,5G,-95.49463039,-103.0449515,-95.72186075
223,Bailey Road,-95.57401124,52.00148402,12.10839159,5G,-100.1983489,-101.988104,-95.34544326
224,Anisabad,-87.7329131,7.968159594,50.36789148,4G,-87.55085577,-97.54526981,-87.31753182
225,Fraser Road,-94.93009092,84.71825959,36.56048912,5G,-96.54641226,-100.2524758,-92.45684549
226,Kidwaipuri,-95.04819609,7.541145972,86.36342352,4G,-93.71065522,-104.3456596,-95.39049003
227,Patliputra Colony,-91.02349809,1.622014007,188.5922114,LTE,-88.27421337,-97.34724201,-89.23947726
228,Phulwari Sharif,-97.28304111,9.346573079,59.56210645,4G,-96.12875196,-105.254469,-100.0365469
229,S.K. Puri,-92.82309393,2.034263784,111.7064413,LTE,-92.54131672,-102.1887298,-92.26813306
230,Danapur,-91.55417771,28.10577091,13.2025361,5G,-91.80964592,-101.5043315,-94.04558079
231,Gardanibagh,-92.73453713,2.352314667,190.77508,LTE,-90.43683201,-99.05721949,-95.25442751
232,Boring Canal Road,-90.15694589,3.602812774,77.95683282,4G,-90.12911148,-99.43476347,-90.50454862
233,Pataliputra,-103.7739437,70.88249291,17.59731065,5G,-100.5864756,-113.1904981,-102.8379356
234,Patliputra Colony,-95.20646344,83.67339073,45.98402379,5G,-92.38713764,-104.2296686,-97.68597162
235,Kidwaipuri,-87.87404125,7.896695093,70.60088695,4G,-91.49006539,-94.54521505,-87.72600741
236,S.K. Puri,-84.8156662,4.954008933,82.31825561,4G,-81.08255747,-94.60744609,-82.83185162
237,Kidwaipuri,-97.33471138,16.54626356,41.60525495,5G,-100.1569034,-103.9495223,-95.51543864
238,Fraser Road,-90.09547362,1.877335544,121.8273199,LTE,-93.79095952,-100.0325846,-92.17169418
239,Gandhi Maidan,-98.52093438,3.077093508,70.83180187,4G,-101.9708477,-105.1986811,-97.26813879
240,Rajendra Nagar,-103.7344785,33.78697775,21.48965392,5G,-103.6210876,-109.7010492,-106.435291
241,Rajendra Nagar,-89.22377973,1.820585606,133.2956614,LTE,-92.97421407,-98.6910235,-88.09363398
242,S.K. Puri,-94.26673081,9.735371134,64.49623813,4G,-90.73728878,-102.3286077,-95.32756531
243,Fraser Road,-89.80005586,5.169059546,75.37545472,4G,-90.78753003,-95.52466393,-90.20854467
244,Anisabad,-93.33910072,4.847828638,71.37537788,4G,-91.01071734,-101.6575602,-94.36747468
245,Rajendra Nagar,-98.19642909,13.56017559,26.12155032,5G,-96.70488944,-104.7060764,-97.36758967
246,Ashok Rajpath,-87.42277596,22.28527109,19.14683006,5G,-83.59782491,-97.32216735,-85.90641313
247,Bankipore,-88.47306332,9.319805149,92.52147438,4G,-89.32979318,-97.91113308,-91.01928114
248,Bailey Road,-88.15430067,1.986683176,104.0069086,LTE,-83.31108088,-96.23689506,-90.24093138
249,Boring Road,-88.49529243,75.65692798,10.81364328,5G,-91.44342101,-96.05987971,-86.22577763
250,Phulwari Sharif,-101.9640455,93.20448545,30.86972903,5G,-106.829951,-111.8668142,-99.12627573
251,Fraser Road,-92.41913956,2.512008484,145.2314035,LTE,-96.98743665,-100.8711358,-93.49847872
252,Rajendra Nagar,-86.92540765,4.978671524,73.04343676,4G,-85.21236341,-96.11449079,-87.00675333
253,Fraser Road,-81.66114832,8.389815327,55.1979688,4G,-77.03749515,-87.21004496,-83.03905677
254,Patliputra Colony,-94.03164678,1.551856596,190.496188,LTE,-90.85314015,-102.3003166,-92.18521102
255,Gardanibagh,-86.81546534,2.589325785,145.6316821,LTE,-90.10778274,-95.47941586,-86.76078503
256,Exhibition Road,-90.29991704,7.398959802,69.7472593,4G,-92.75960686,-95.38924111,-87.40179705
257,Kidwaipuri,-89.16239455,6.021090304,88.18015335,4G,-84.23641737,-95.86722115,-91.85966113
258,Kidwaipuri,-97.80477989,53.87210519,24.56484227,5G,-96.41091567,-107.1595978,-98.22288132
259,Gardanibagh,-92.91947835,2.897832436,124.599974,LTE,-92.59861011,-100.5076973,-91.70227968
260,Anandpuri,-85.12801628,54.03904727,30.50304864,5G,-87.45027313,-92.85326239,-85.3033063
